Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1575,,,,,
Scope 1/1, Sample 1/3 (20201009_junk),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-82.4,21.7,,,
0.04,5,-81.7,21.7,0.0085,,
0.08,12,-79.1,21.7,0.0055,,
0.12,21,-75.5,21.7,0.0045,,
0.16,33,-70.7,21.7,0.0035,,
0.2,47,-64.9,21.7,0.003,,
0.24,66,-57.3,21.7,0.002,,
0.28,88,-47.9,21.7,0.002,,
0.32,114,-36.3,21.7,0.0015,,
0.36,134,-25.6,21.7,0.002,,
0.4,148,-17,21.7,0.003,,
0.44,159,-10.9,21.7,0.0035,,
0.48,170,-5.6,21.7,0.004,,
0.52,177,-1,21.7,0.0055,,
0.56,187,3.2,21.7,0.004,,
0.6,197,7.3,21.7,0.004,,
0.64,209,11.9,21.7,0.0035,,
0.68,220,16.4,21.7,0.0035,,
0.72,231,20.6,21.7,0.0035,,
0.76,242,24.5,21.7,0.0035,,
0.8,253,28.4,21.7,0.0035,,
0.84,262,31.9,21.7,0.004,,
0.88,273,35.5,21.7,0.0035,,
0.92,282,38.6,21.7,0.0045,,
0.96,291,41.8,21.7,0.0045,,
1,301,45,21.7,0.004,,
1.04,306,47.3,21.7,0.008,,
1.08,314,50.6,21.7,0.005,,
1.12,318,53.3,21.7,0.01,,
1.16,327,56.3,21.7,0.0045,,
1.2,332,59,21.7,0.0075,,
1.24,341,62.4,21.7,0.0045,,
1.28,345,65.3,21.7,0.0095,,
1.32,353,68.7,21.7,0.005,,
1.36,362,72.3,21.7,0.0045,,
1.4,371,76.2,21.7,0.0045,,
1.44,379,80.2,21.7,0.005,,
1.48,387,84.9,21.7,0.005,,
1.52,396,90,21.7,0.0045,,
1.56,401,95.4,21.7,0.0085,,
1.6,411,103.4,21.7,0.004,,
1.64,416,112.1,21.7,0.0085,,
1.68,426,125,21.7,0.004,,
1.72,435,140.6,21.7,0.0045,,
1.76,444,156.7,21.7,0.0045,,
1.8,452,169.1,21.7,0.005,,
Scope 1/1, Sample 2/3 (20201009_CRM1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-47.6,21.7,,,
0.04,6,-47.3,21.7,0.007,,
0.08,26,-39.4,21.7,0.002,,
0.12,53,-25.9,21.7,0.0015,,
0.16,74,-13.6,21.7,0.002,,
0.2,90,-4.3,21.7,0.0025,,
0.24,101,0.9,21.7,0.0035,,
0.28,114,7.2,21.7,0.003,,
0.32,126,12.5,21.7,0.0035,,
0.36,138,17.3,21.7,0.003,,
0.4,150,21.8,21.7,0.003,,
0.44,162,25.8,21.7,0.0035,,
0.48,173,29.4,21.7,0.0035,,
0.52,184,32.8,21.7,0.0035,,
0.56,194,35.9,21.7,0.004,,
0.6,204,39.2,21.7,0.004,,
0.64,212,41.7,21.7,0.005,,
0.68,222,45.3,21.7,0.004,,
0.72,230,48.1,21.7,0.0045,,
0.76,240,51.5,21.7,0.004,,
0.8,247,54.7,21.7,0.0055,,
0.84,258,58.4,21.7,0.0035,,
0.88,268,62.2,21.7,0.004,,
0.92,277,65.5,21.7,0.0045,,
0.96,286,69.5,21.7,0.0045,,
1,291,73.3,21.7,0.008,,
1.04,296,77.3,21.7,0.0085,,
1.08,307,83.3,21.7,0.004,,
1.12,318,89.5,21.7,0.0035,,
1.16,326,96.1,21.7,0.005,,
1.2,336,104.7,21.7,0.004,,
1.24,346,115.2,21.7,0.004,,
1.28,357,129.8,21.7,0.0035,360.91,2.56
1.32,367,146.6,21.7,0.004,374.94,2.57
1.36,375,161.9,21.7,0.005,351.11,2.55
1.4,383,173.3,21.7,0.005,293.27,2.47
1.44,390,181.7,21.7,0.0055,217.87,2.34
1.46,518,186.8,21.7,0,178.52,2.25
1.48,524,189.7,21.7,0.003,152.37,2.18
1.5,531,192.4,21.7,0.003,135.44,2.13
1.52,537,194.8,21.7,0.003,118.28,2.07
1.54,543,196.9,21.7,0.003,103.03,2.01
1.56,549,199.1,21.7,0.003,101.39,2.01
1.58,556,201.1,21.7,0.003,94.9,1.98
1.6,563,203,21.7,0.003,88.65,1.95
1.62,569,204.6,21.7,0.0035,82.41,1.92
1.64,575,206.2,21.7,0.0035,76.93,1.89
1.66,581,207.7,21.7,0.0035,72.62,1.86
1.68,587,209.1,21.7,0.0035,68.91,1.84
1.7,592,210.5,21.7,0.0035,65.5,1.82
1.72,599,211.8,21.7,0.003,,
1.74,604,212.9,21.7,0.004,,
1.76,610,214.1,21.7,0.0035,,
1.78,615,215.2,21.7,0.004,,
1.8,621,216.3,21.7,0.0035,,
Scope 1/1, Sample 3/3 (20201009_CRM2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-46.3,21.7,,,
0.04,7,-45.9,21.7,0.006,,
0.08,27,-38.2,21.7,0.002,,
0.12,56,-24.4,21.7,0.0015,,
0.16,79,-12.1,21.7,0.0015,,
0.2,95,-3,21.7,0.0025,,
0.24,108,3.2,21.7,0.003,,
0.28,122,9,21.7,0.003,,
0.32,135,14.4,21.7,0.003,,
0.36,149,19.4,21.7,0.003,,
0.4,162,23.9,21.7,0.003,,
0.44,174,27.9,21.7,0.0035,,
0.48,186,31.8,21.7,0.0035,,
0.52,197,35,21.7,0.0035,,
0.56,206,38.3,21.7,0.0045,,
0.6,209,40.2,21.7,0.0125,,
0.64,220,44.3,21.7,0.0035,,
0.68,231,47.6,21.7,0.004,,
0.72,238,50.7,21.7,0.0055,,
0.76,249,54,21.7,0.0035,,
0.8,259,57.4,21.7,0.004,,
0.84,269,60.6,21.7,0.004,,
0.88,280,64.4,21.7,0.0035,,
0.92,290,68,21.7,0.004,,
0.96,297,71.6,21.7,0.0055,,
1,305,75.7,21.7,0.005,,
1.04,316,80.5,21.7,0.0035,,
1.08,326,85.5,21.7,0.004,,
1.12,336,91.1,21.7,0.004,,
1.16,341,97.3,21.7,0.0085,,
1.2,350,105.7,21.7,0.0045,,
1.24,356,115.7,21.7,0.007,,
1.28,367,130.3,21.7,0.0035,358.98,2.56
1.32,376,147,21.7,0.0045,374.52,2.57
1.36,385,162.5,21.7,0.0045,351.57,2.55
1.4,393,173.8,21.7,0.005,294.13,2.47
1.44,399,182.2,21.7,0.0065,217.84,2.34
1.46,526,187.2,21.7,0,178.54,2.25
1.48,533,190.1,21.7,0.003,152.39,2.18
1.5,540,192.9,21.7,0.003,136.88,2.14
1.52,546,195.3,21.7,0.003,118.98,2.08
1.54,553,197.6,21.7,0.003,102.31,2.01
1.56,559,199.6,21.7,0.0035,99.03,2
1.58,565,201.5,21.7,0.0035,92.05,1.96
1.6,571,203.3,21.7,0.0035,86.91,1.94
1.62,577,205,21.7,0.0035,81.63,1.91
1.64,583,206.6,21.7,0.0035,77.2,1.89
1.66,588,208.1,21.7,0.0035,72.42,1.86
1.68,594,209.5,21.7,0.003,68.42,1.84
1.7,600,210.8,21.7,0.0035,64.92,1.81
1.72,606,212.1,21.7,0.0035,,
1.74,612,213.3,21.7,0.0035,,
1.76,618,214.5,21.7,0.0035,,
1.78,623,215.6,21.7,0.004,,
1.8,629,216.7,21.7,0.0035,,